account_id,cliente,cpf,agencia,saldo_inicial,status_conta,perfil_risco_cliente,limite_diario
ACC00023,Henrique Dias,357.698.762-41,4367,10011.35,ATIVA,MEDIO,12166.58
ACC00024,Isabela Dias,229.788.918-04,6349,4951.27,ATIVA,BAIXO,4880.99
ACC00025,Patricia Souza,511.251.415-07,1498,4487.06,ATIVA,BAIXO,17496.79
ACC00026,Natalia Lima,839.578.785-04,2633,45829.14,ATIVA,BAIXO,11282.17
ACC00027,Elisa Almeida,039.581.081-04,9322,757.39,ATIVA,MEDIO,24519.91
ACC00028,Felipe Santos,576.667.718-53,5627,13688.93,ATIVA,BAIXO,16529.74
ACC00029,Diego Ferreira,014.414.623-35,4297,2708.98,ATIVA,MEDIO,8476.6
ACC00030,Natalia Teixeira,698.473.459-84,6872,7670.9,ATIVA,BAIXO,8271.66
ACC00031,Carla Rocha,025.658.919-66,1855,18743.11,ATIVA,ALTO,4729.09
ACC00032,Rafael Teixeira,184.547.979-90,3280,1218.16,ATIVA,BAIXO,5525.35
ACC00033,Carla Pereira,054.465.779-75,5428,568.55,BLOQUEADA,BAIXO,4251.93
ACC00034,Marcos Barbosa,467.497.267-37,9084,4496.08,ATIVA,BAIXO,8889.34
ACC00035,Felipe Costa,910.954.731-71,5976,1737.1,ATIVA,BAIXO,10344.45
ACC00036,Larissa Teixeira,078.941.288-61,2097,15426.3,ATIVA,BAIXO,12176.47
ACC00037,Marcos Silva,429.434.035-97,8030,1020.97,ENCERRADA,MEDIO,8171.85
ACC00038,Natalia Silva,016.906.166-06,9072,5866.76,ATIVA,BAIXO,19754.05
ACC00039,Natalia Dias,092.690.001-08,6452,1133.62,ATIVA,MEDIO,2844.95
ACC00040,Larissa Santos,991.786.884-04,2815,12310.74,ATIVA,MEDIO,5147.51
ACC00041,Otavio Rocha,010.207.597-65,1490,1427.26,ATIVA,MEDIO,18175.09
ACC00042,Gabriela Costa,307.139.545-72,6727,4894.15,ATIVA,ALTO,8581.55
ACC00043,Gabriela Pereira,562.649.114-56,4635,21076.44,ATIVA,BAIXO,8034.78
ACC00044,Bruno Ferreira,647.646.941-48,2958,563.58,ATIVA,BAIXO,11332.4
ACC00045,Henrique Martins,120.535.575-65,6871,6356.63,ATIVA,BAIXO,11638.33
ACC00046,Isabela Ribeiro,539.587.581-98,5532,3123.26,ATIVA,BAIXO,21178.49
ACC00047,Gabriela Martins,010.088.800-25,4006,2757.82,ATIVA,MEDIO,1845.05
ACC00048,Gabriela Silva,784.371.266-15,4283,2232.45,ENCERRADA,MEDIO,8807.6
ACC00049,Natalia Rocha,177.396.306-27,5725,6644.16,ATIVA,MEDIO,24744.63
ACC00050,Rafael Oliveira,288.961.548-33,1720,4098.34,ATIVA,BAIXO,5040.81
ACC00051,Elisa Costa,299.062.121-49,6277,422.07,ATIVA,BAIXO,21324.33
ACC00052,Otavio Ribeiro,564.677.607-37,5855,6610.4,ATIVA,BAIXO,19562.75
ACC00053,Marcos Silva,354.935.183-35,5488,2292.98,ATIVA,BAIXO,23057.44
ACC00054,Larissa Ribeiro,310.331.206-96,5033,4312.08,ATIVA,BAIXO,8033.52
ACC00055,Carla Rocha,567.986.849-76,9129,416.16,ENCERRADA,MEDIO,21869.83
ACC00056,Bruno Barbosa,578.465.964-91,9860,4555.69,ATIVA,MEDIO,9642.58
ACC00057,Ana Barbosa,205.794.898-43,9800,5789.89,ATIVA,BAIXO,14553.35
ACC00058,Isabela Santos,294.820.039-03,1983,4499.62,ATIVA,MEDIO,21838.23
ACC00059,Marcos Rocha,383.092.162-84,1040,4637.92,ATIVA,BAIXO,10931.86
ACC00060,Marcos Souza,662.248.537-89,3690,637.05,ATIVA,BAIXO,22334.1
ACC00061,Otavio Dias,606.347.485-96,3666,2687.61,ATIVA,BAIXO,24943.13
ACC00062,Otavio Rocha,750.349.243-11,4288,1348.35,ATIVA,BAIXO,12152.08
ACC00063,Rafael Ribeiro,834.489.975-59,3560,3383.18,ATIVA,BAIXO,22863.02
ACC00064,Elisa Oliveira,972.566.028-22,3902,4986.13,ATIVA,BAIXO,14695.0
ACC00065,Elisa Santos,576.484.995-62,8330,2319.81,ATIVA,BAIXO,14711.01
ACC00066,Felipe Barbosa,463.975.941-09,9637,1730.15,ATIVA,BAIXO,3039.97
ACC00067,Rafael Martins,257.300.816-37,1544,1512.68,ATIVA,BAIXO,10761.96
ACC00068,Diego Lima,102.148.101-52,5405,891.47,ATIVA,MEDIO,21268.29
ACC00069,Isabela Ferreira,235.294.863-27,3976,7263.27,ATIVA,BAIXO,18221.61
ACC00070,Diego Costa,603.109.009-18,1281,847.35,ATIVA,BAIXO,14876.48
ACC00071,Diego Pereira,684.028.564-18,7955,1629.75,ATIVA,MEDIO,12179.75
ACC00072,Rafael Pereira,990.378.135-71,6406,11211.54,ATIVA,BAIXO,3335.55
ACC00073,Otavio Almeida,733.071.678-73,7646,12373.33,BLOQUEADA,BAIXO,4461.62
ACC00074,Natalia Costa,660.175.192-09,1149,18357.71,ATIVA,BAIXO,22586.6
ACC00075,Bruno Souza,451.612.704-51,3652,5177.81,ATIVA,BAIXO,15499.27
ACC00076,Carla Dias,888.266.155-37,7097,11598.12,ATIVA,MEDIO,24610.3
ACC00077,Carla Lima,959.007.354-49,1846,4818.93,ATIVA,MEDIO,5010.29
ACC00078,Felipe Teixeira,216.198.992-23,5227,681.53,ATIVA,BAIXO,13649.96
ACC00079,Bruno Rocha,675.795.417-96,8789,1627.97,ATIVA,BAIXO,18974.61
ACC00080,Henrique Almeida,299.387.986-36,3871,63638.14,ATIVA,BAIXO,15641.71
ACC00081,Joao Souza,540.133.337-13,2465,5337.27,ATIVA,ALTO,7224.52
ACC00082,Diego Barbosa,475.832.429-14,5697,2150.84,ATIVA,BAIXO,12815.05
ACC00083,Bruno Teixeira,266.481.221-23,7882,3550.4,BLOQUEADA,ALTO,24585.62
ACC00084,Felipe Teixeira,504.193.254-08,8611,1720.32,ATIVA,BAIXO,7451.5
ACC00085,Henrique Costa,183.557.728-38,4643,3993.0,ATIVA,BAIXO,23626.16
ACC00086,Gabriela Barbosa,287.132.186-16,4721,6003.06,ATIVA,MEDIO,21506.36
ACC00087,Joao Silva,735.572.322-10,9459,4053.37,ATIVA,BAIXO,13029.29
ACC00088,Henrique Oliveira,358.431.311-90,5337,16037.01,ATIVA,BAIXO,6381.36
ACC00089,Carla Ferreira,803.119.039-60,5184,4724.06,ATIVA,BAIXO,24732.19
ACC00090,Carla Silva,873.481.896-35,1450,12500.04,ATIVA,BAIXO,19144.71
ACC00091,Larissa Santos,822.954.267-05,9939,2892.14,ATIVA,BAIXO,4532.21
ACC00092,Gabriela Costa,764.319.634-77,5149,2512.16,ATIVA,BAIXO,23826.44
ACC00093,Isabela Gomes,510.698.509-42,9031,2772.88,ATIVA,BAIXO,23767.09
ACC00094,Marcos Gomes,773.485.175-57,9162,7641.72,ATIVA,BAIXO,11091.68
ACC00095,Henrique Martins,218.036.167-63,1177,1198.31,ATIVA,MEDIO,21724.81
ACC00096,Natalia Dias,961.182.712-22,7071,4838.9,ATIVA,BAIXO,17982.69
ACC00097,Natalia Teixeira,567.236.037-95,4596,2320.82,ATIVA,BAIXO,22065.03
ACC00098,Rafael Pereira,341.988.338-57,5407,3990.75,ATIVA,BAIXO,22947.79
ACC00099,Rafael Souza,389.907.972-71,5324,1054.07,ATIVA,BAIXO,8299.02
ACC00100,Elisa Ferreira,453.422.682-85,2509,3448.77,ATIVA,MEDIO,21220.59
ACC00101,Diego Costa,676.113.492-19,2385,11933.58,ATIVA,ALTO,24549.3
ACC00102,Larissa Barbosa,915.722.482-64,2006,907.54,ATIVA,BAIXO,14476.35
ACC00103,Diego Oliveira,267.609.090-51,1856,5682.24,ENCERRADA,BAIXO,12338.41
ACC00104,Carla Lima,203.673.376-89,8390,11768.82,ATIVA,MEDIO,20332.65
ACC00105,Carla Martins,282.158.903-13,5804,1495.53,ATIVA,BAIXO,11753.44
ACC00106,Otavio Santos,003.678.310-10,8746,1628.17,ATIVA,MEDIO,3679.77
ACC00107,Gabriela Lima,575.237.255-77,5181,451.4,ATIVA,BAIXO,19160.03
ACC00108,Rafael Barbosa,703.111.080-36,9912,4653.53,ATIVA,BAIXO,10733.58
ACC00109,Carla Souza,999.841.624-69,3601,937.68,ATIVA,BAIXO,20970.85
ACC00110,Felipe Rocha,405.096.346-22,4767,3373.26,ATIVA,BAIXO,10556.18
ACC00111,Natalia Ferreira,151.345.668-03,1009,1054.95,BLOQUEADA,BAIXO,5541.07
ACC00112,Otavio Souza,048.489.403-24,6271,1205.68,ATIVA,BAIXO,3830.19
ACC00113,Gabriela Dias,145.101.681-33,4246,1649.85,ATIVA,BAIXO,15846.4
ACC00114,Gabriela Dias,880.960.710-14,6575,1241.63,ATIVA,MEDIO,20765.51
ACC00115,Marcos Oliveira,194.024.034-90,6191,6060.63,ATIVA,ALTO,13218.03
ACC00116,Isabela Martins,299.383.754-16,3889,6351.03,ATIVA,MEDIO,15349.28
ACC00117,Joao Gomes,644.486.398-97,4523,894.76,ATIVA,BAIXO,12352.72
ACC00118,Elisa Ribeiro,353.393.035-03,2494,8949.95,ATIVA,BAIXO,14722.8
ACC00119,Natalia Santos,525.899.151-69,1473,13418.78,ATIVA,ALTO,15105.97
ACC00120,Rafael Almeida,609.695.003-71,8668,594.25,ATIVA,BAIXO,19986.27
