transaction_id,account_id,destino_id,tipo,valor,data_hora,canal,cliente,cpf,agencia,saldo_inicial,status_conta,perfil_risco_cliente,limite_diario,motivo,status_processamento,impacto_financeiro,valor_acima_limite,conta_invalida,conta_bloqueada,horario_sensivel,duplicada,risk_score,nivel_risco
TRX0000035,ACC00069,,BOLETO,1521.05,2026-05-19T09:05:37,INTERNET_BANKING,Isabela Ferreira,235.294.863-27,3976.0,7263.27,ATIVA,BAIXO,18221.61,APROVADA,APROVADA,1521.05,False,False,False,False,False,9.8,BAIXO
TRX0000036,ACC00015,ACC00021,PIX,2496.2,2026-04-07T19:33:37,ATM,Felipe Barbosa,661.226.779-73,1969.0,2323.04,ATIVA,BAIXO,14539.03,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,13.01,BAIXO
TRX0000037,ACC00093,ACC00034,TED,2386.72,2026-04-16T14:13:37,APP,Isabela Gomes,510.698.509-42,9031.0,2772.88,ATIVA,BAIXO,23767.09,APROVADA,APROVADA,2386.72,False,False,False,False,False,9.82,BAIXO
TRX0000038,ACC00098,ACC00117,PIX,1385.42,2026-03-25T10:18:37,INTERNET_BANKING,Rafael Pereira,341.988.338-57,5407.0,3990.75,ATIVA,BAIXO,22947.79,APROVADA,APROVADA,1385.42,False,False,False,False,False,5.46,BAIXO
TRX0000039,ACC00081,ACC00082,TED,97.94,2026-05-28T15:07:37,APP,Joao Souza,540.133.337-13,2465.0,5337.27,ATIVA,ALTO,7224.52,APROVADA,APROVADA,97.94,False,False,False,False,False,25.25,BAIXO
TRX0000040,ACC00026,,CARTAO,1264.25,2026-04-11T12:23:37,INTERNET_BANKING,Natalia Lima,839.578.785-04,2633.0,45829.14,ATIVA,BAIXO,11282.17,APROVADA,APROVADA,1264.25,False,False,False,False,False,9.74,BAIXO
TRX0000041,ACC00100,ACC00118,TED,514.14,2026-05-07T12:28:37,APP,Elisa Ferreira,453.422.682-85,2509.0,3448.77,ATIVA,MEDIO,21220.59,APROVADA,APROVADA,514.14,False,False,False,False,False,12.97,BAIXO
TRX0000042,ACC00063,ACC00119,PIX,31595.58,2026-05-02T20:10:37,APP,Rafael Ribeiro,834.489.975-59,3560.0,3383.18,ATIVA,BAIXO,22863.02,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,False,False,51.17,MEDIO
TRX0000043,ACC00107,ACC00031,PIX,1439.5,2026-03-30T08:18:37,CAIXA,Gabriela Lima,575.237.255-77,5181.0,451.4,ATIVA,BAIXO,19160.03,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,13.03,BAIXO
TRX0000044,ACC00113,ACC00011,TED,851.65,2026-04-14T20:38:37,APP,Gabriela Dias,145.101.681-33,4246.0,1649.85,ATIVA,BAIXO,15846.4,APROVADA,APROVADA,851.65,False,False,False,False,False,6.18,BAIXO
TRX0000045,ACC00063,,CARTAO,4101.59,2026-04-01T08:29:37,APP,Rafael Ribeiro,834.489.975-59,3560.0,3383.18,ATIVA,BAIXO,22863.02,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,10.92,BAIXO
TRX0000046,ACC00017,ACC00061,PIX,585.67,2026-03-20T20:25:37,APP,Elisa Lima,991.807.882-81,5669.0,11794.65,ATIVA,BAIXO,10280.96,APROVADA,APROVADA,585.67,False,False,False,False,False,0.24,BAIXO
TRX0000047,ACC00022,ACC00112,TED,161.84,2026-05-02T09:28:37,APP,Marcos Lima,091.519.784-46,8062.0,4836.97,ATIVA,MEDIO,20225.2,APROVADA,APROVADA,161.84,False,False,False,False,False,14.21,BAIXO
TRX0000048,ACC00028,ACC00097,PIX,1272.02,2026-05-20T01:59:37,APP,Felipe Santos,576.667.718-53,5627.0,13688.93,ATIVA,BAIXO,16529.74,APROVADA,APROVADA,1272.02,False,False,False,True,False,11.43,BAIXO
TRX0000049,ACC00026,,DEPOSITO,393.06,2026-05-09T15:29:37,APP,Natalia Lima,839.578.785-04,2633.0,45829.14,ATIVA,BAIXO,11282.17,APROVADA,APROVADA,393.06,False,False,False,False,False,8.52,BAIXO
TRX0000050,ACC00084,,SAQUE,239.38,2026-04-26T20:25:37,APP,Felipe Teixeira,504.193.254-08,8611.0,1720.32,ATIVA,BAIXO,7451.5,APROVADA,APROVADA,239.38,False,False,False,False,False,8.53,BAIXO
TRX0000051,ACC00016,ACC00009,TED,1138.74,2026-05-16T14:43:37,APP,Isabela Gomes,384.893.296-26,5634.0,3509.8,BLOQUEADA,BAIXO,2555.4,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,36.97,MEDIO
TRX0000052,ACC00076,ACC00076,PIX,317.8,2026-05-13T12:13:37,ATM,Carla Dias,888.266.155-37,7097.0,11598.12,ATIVA,MEDIO,24610.3,APROVADA,APROVADA,317.8,False,False,False,False,False,15.92,BAIXO
TRX0000053,ACC00010,ACC00008,PIX,225.34,2026-04-04T07:43:37,APP,Felipe Teixeira,394.642.792-72,7451.0,1571.43,ATIVA,BAIXO,22711.16,APROVADA,APROVADA,225.34,False,False,False,False,False,0.31,BAIXO
TRX0000054,ACC00116,ACC00043,PIX,322.09,2026-03-14T18:46:37,ATM,Isabela Martins,299.383.754-16,3889.0,6351.03,ATIVA,MEDIO,15349.28,APROVADA,APROVADA,322.09,False,False,False,False,False,15.87,BAIXO
TRX0000055,ACC00031,ACC00063,PIX,1919.8,2026-04-04T22:19:37,CAIXA,Carla Rocha,025.658.919-66,1855.0,18743.11,ATIVA,ALTO,4729.09,APROVADA,APROVADA,1919.8,False,False,False,False,False,32.79,MEDIO
TRX0000056,ACC00017,ACC00113,TED,100.29,2026-05-31T02:10:37,INTERNET_BANKING,Elisa Lima,991.807.882-81,5669.0,11794.65,ATIVA,BAIXO,10280.96,APROVADA,APROVADA,100.29,False,False,False,True,False,20.78,BAIXO
TRX0000057,ACC00061,ACC00061,TED,500.07,2026-04-28T11:29:37,APP,Otavio Dias,606.347.485-96,3666.0,2687.61,ATIVA,BAIXO,24943.13,APROVADA,APROVADA,500.07,False,False,False,False,False,4.99,BAIXO
TRX0000058,ACC00025,ACC00085,PIX,1710.0,2026-03-14T08:38:37,INTERNET_BANKING,Patricia Souza,511.251.415-07,1498.0,4487.06,ATIVA,BAIXO,17496.79,APROVADA,APROVADA,1710.0,False,False,False,False,False,6.71,BAIXO
TRX0000059,ACC00055,ACC00111,TED,370.45,2026-03-30T03:11:37,APP,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,52.55,MEDIO
TRX0000060,ACC00087,ACC00083,PIX,80.65,2026-04-02T04:05:37,APP,Joao Silva,735.572.322-10,9459.0,4053.37,ATIVA,BAIXO,13029.29,APROVADA,APROVADA,80.65,False,False,False,True,False,11.97,BAIXO
TRX0000061,ACC00052,ACC00103,PIX,258.77,2026-05-20T01:43:37,APP,Otavio Ribeiro,564.677.607-37,5855.0,6610.4,ATIVA,BAIXO,19562.75,APROVADA,APROVADA,258.77,False,False,False,True,False,10.21,BAIXO
TRX0000062,ACC00032,,DEPOSITO,252.62,2026-04-24T14:41:37,APP,Rafael Teixeira,184.547.979-90,3280.0,1218.16,ATIVA,BAIXO,5525.35,APROVADA,APROVADA,252.62,False,False,False,False,False,8.77,BAIXO
TRX0000063,ACC00055,,CARTAO,575.03,2026-05-17T17:45:37,APP,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,42.1,MEDIO
TRX0000064,ACC00119,ACC00104,PIX,235.73,2026-05-18T22:06:37,INTERNET_BANKING,Natalia Santos,525.899.151-69,1473.0,13418.78,ATIVA,ALTO,15105.97,APROVADA,APROVADA,235.73,False,False,False,False,False,21.38,BAIXO
TRX0000065,ACC00071,ACC00084,PIX,1717.82,2026-05-06T12:54:37,APP,Diego Pereira,684.028.564-18,7955.0,1629.75,ATIVA,MEDIO,12179.75,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,10.2,BAIXO
TRX0000066,ACC00108,,CARTAO,2646.05,2026-03-07T07:51:37,APP,Rafael Barbosa,703.111.080-36,9912.0,4653.53,ATIVA,BAIXO,10733.58,APROVADA,APROVADA,2646.05,False,False,False,False,False,8.38,BAIXO
TRX0000067,ACC00109,ACC00053,PIX,184.19,2026-03-24T08:49:37,APP,Carla Souza,999.841.624-69,3601.0,937.68,ATIVA,BAIXO,20970.85,APROVADA,APROVADA,184.19,False,False,False,False,False,0.88,BAIXO
TRX0000068,ACC00028,,CARTAO,363.11,2026-03-20T01:19:37,APP,Felipe Santos,576.667.718-53,5627.0,13688.93,ATIVA,BAIXO,16529.74,APROVADA,APROVADA,363.11,False,False,False,True,False,13.81,BAIXO
TRX0000069,ACCX61173,ACC00034,PIX,127.34,2026-03-12T02:32:37,INTERNET_BANKING,,,,,,,,CONTA_INEXISTENTE,REJEITADA,0.0,True,True,False,True,False,100.0,ALTO
TRX0000070,ACC00101,ACC00055,PIX,167.01,2026-03-30T10:29:37,INTERNET_BANKING,Diego Costa,676.113.492-19,2385.0,11933.58,ATIVA,ALTO,24549.3,APROVADA,APROVADA,167.01,False,False,False,False,False,22.07,BAIXO
TRX0000071,ACC00094,,BOLETO,418.58,2026-05-16T19:28:37,ATM,Marcos Gomes,773.485.175-57,9162.0,7641.72,ATIVA,BAIXO,11091.68,APROVADA,APROVADA,418.58,False,False,False,False,False,11.39,BAIXO
TRX0000072,ACC00063,ACC00038,TED,1496.67,2026-03-08T10:24:37,APP,Rafael Ribeiro,834.489.975-59,3560.0,3383.18,ATIVA,BAIXO,22863.02,APROVADA,APROVADA,1496.67,False,False,False,False,False,7.68,BAIXO
TRX0000073,ACC00008,,SAQUE,296.2,2026-03-20T00:20:37,ATM,Gabriela Ribeiro,155.796.444-83,2502.0,2626.09,ATIVA,MEDIO,12354.11,APROVADA,APROVADA,296.2,False,False,False,True,False,35.62,MEDIO
TRX0000074,ACC00041,ACC00075,PIX,394.49,2026-05-25T01:16:37,APP,Otavio Rocha,010.207.597-65,1490.0,1427.26,ATIVA,MEDIO,18175.09,APROVADA,APROVADA,394.49,False,False,False,True,False,18.19,BAIXO
TRX0000075,ACC00118,,CARTAO,1901.07,2026-05-06T06:14:37,CAIXA,Elisa Ribeiro,353.393.035-03,2494.0,8949.95,ATIVA,BAIXO,14722.8,APROVADA,APROVADA,1901.07,False,False,False,False,False,16.02,BAIXO
TRX0000076,ACC00066,ACC00024,TED,2014.48,2026-04-20T06:36:37,INTERNET_BANKING,Felipe Barbosa,463.975.941-09,9637.0,1730.15,ATIVA,BAIXO,3039.97,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,12.92,BAIXO
TRX0000077,ACC00009,,SAQUE,726.02,2026-04-17T02:31:37,APP,Marcos Costa,959.146.441-32,3713.0,3388.88,ATIVA,BAIXO,4273.14,APROVADA,APROVADA,726.02,False,False,False,True,False,18.4,BAIXO
TRX0000078,ACC00114,,BOLETO,960.86,2026-03-08T05:55:37,APP,Gabriela Dias,880.960.710-14,6575.0,1241.63,ATIVA,MEDIO,20765.51,APROVADA,APROVADA,960.86,False,False,False,True,False,21.75,BAIXO
TRX0000079,ACC00080,,DEPOSITO,475.14,2026-04-24T07:26:37,APP,Henrique Almeida,299.387.986-36,3871.0,63638.14,ATIVA,BAIXO,15641.71,APROVADA,APROVADA,475.14,False,False,False,False,False,8.64,BAIXO
TRX0000080,ACC00067,ACC00034,PIX,356.34,2026-05-17T12:46:37,INTERNET_BANKING,Rafael Martins,257.300.816-37,1544.0,1512.68,ATIVA,BAIXO,10761.96,APROVADA,APROVADA,356.34,False,False,False,False,False,3.07,BAIXO
TRX0000081,ACC00092,,CARTAO,5980.98,2026-03-26T12:49:37,ATM,Gabriela Costa,764.319.634-77,5149.0,2512.16,ATIVA,BAIXO,23826.44,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,17.79,BAIXO
TRX0000082,ACC00086,ACC00059,TED,513.74,2026-03-03T10:44:37,APP,Gabriela Barbosa,287.132.186-16,4721.0,6003.06,ATIVA,MEDIO,21506.36,APROVADA,APROVADA,513.74,False,False,False,False,False,12.97,BAIXO
TRX0000083,ACC00097,,CARTAO,1211.9,2026-03-13T01:15:37,APP,Natalia Teixeira,567.236.037-95,4596.0,2320.82,ATIVA,BAIXO,22065.03,APROVADA,APROVADA,1211.9,False,False,False,True,False,15.2,BAIXO
TRX0000084,ACC00073,ACC00010,PIX,1167.68,2026-05-11T07:01:37,APP,Otavio Almeida,733.071.678-73,7646.0,12373.33,BLOQUEADA,BAIXO,4461.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,31.02,MEDIO
TRX0000085,ACC00065,,BOLETO,258.66,2026-03-07T02:36:37,APP,Elisa Santos,576.484.995-62,8330.0,2319.81,ATIVA,BAIXO,14711.01,APROVADA,APROVADA,258.66,False,False,False,True,False,13.25,BAIXO
TRX0000086,ACC00009,ACC00048,PIX,235.01,2026-04-18T10:21:37,APP,Marcos Costa,959.146.441-32,3713.0,3388.88,ATIVA,BAIXO,4273.14,APROVADA,APROVADA,235.01,False,False,False,False,False,0.26,BAIXO
TRX0000087,ACC00057,,BOLETO,1026.47,2026-03-21T09:32:37,ATM,Ana Barbosa,205.794.898-43,9800.0,5789.89,ATIVA,BAIXO,14553.35,APROVADA,APROVADA,1026.47,False,False,False,False,False,12.04,BAIXO
TRX0000088,ACC00104,,DEPOSITO,252.72,2026-04-13T05:38:37,INTERNET_BANKING,Carla Lima,203.673.376-89,8390.0,11768.82,ATIVA,MEDIO,20332.65,APROVADA,APROVADA,252.72,False,False,False,True,False,31.68,MEDIO
TRX0000089,ACC00071,ACC00085,PIX,94.49,2026-03-04T05:44:37,APP,Diego Pereira,684.028.564-18,7955.0,1629.75,ATIVA,MEDIO,12179.75,APROVADA,APROVADA,94.49,False,False,False,True,False,19.92,BAIXO
TRX0000090,ACC00113,ACC00015,PIX,2044.64,2026-04-16T17:08:37,INTERNET_BANKING,Gabriela Dias,145.101.681-33,4246.0,1649.85,ATIVA,BAIXO,15846.4,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,6.94,BAIXO
TRX0000091,ACC00096,ACC00035,PIX,1673.91,2026-05-05T00:10:37,CAIXA,Natalia Dias,961.182.712-22,7071.0,4838.9,ATIVA,BAIXO,17982.69,APROVADA,APROVADA,1673.91,False,False,False,True,False,23.83,BAIXO
TRX0000092,ACC00027,,BOLETO,1161.12,2026-03-17T17:01:37,ATM,Elisa Almeida,039.581.081-04,9322.0,757.39,ATIVA,MEDIO,24519.91,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,20.67,BAIXO
TRX0000093,ACC00110,ACC00063,PIX,392.88,2026-04-29T06:37:37,APP,Felipe Rocha,405.096.346-22,4767.0,3373.26,ATIVA,BAIXO,10556.18,APROVADA,APROVADA,392.88,False,False,False,False,False,0.21,BAIXO
TRX0000094,ACC00117,,BOLETO,1072.29,2026-04-04T13:43:37,INTERNET_BANKING,Joao Gomes,644.486.398-97,4523.0,894.76,ATIVA,BAIXO,12352.72,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,8.25,BAIXO
TRX0000095,ACC00107,ACC00001,PIX,1537.86,2026-03-29T15:39:37,APP,Gabriela Lima,575.237.255-77,5181.0,451.4,ATIVA,BAIXO,19160.03,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,1.56,BAIXO
TRX0000096,ACC00017,,CARTAO,330.98,2026-03-11T22:34:37,APP,Elisa Lima,991.807.882-81,5669.0,11794.65,ATIVA,BAIXO,10280.96,APROVADA,APROVADA,330.98,False,False,False,False,False,3.89,BAIXO
TRX0000097,ACC00057,ACC00055,PIX,306.82,2026-05-07T06:06:37,APP,Ana Barbosa,205.794.898-43,9800.0,5789.89,ATIVA,BAIXO,14553.35,APROVADA,APROVADA,306.82,False,False,False,False,False,0.04,BAIXO
TRX0000098,ACC00015,ACC00114,PIX,318.85,2026-04-12T15:36:37,INTERNET_BANKING,Felipe Barbosa,661.226.779-73,1969.0,2323.04,ATIVA,BAIXO,14539.03,APROVADA,APROVADA,318.85,False,False,False,False,False,3.21,BAIXO
TRX0000099,ACC00020,ACC00107,PIX,6677.66,2026-04-05T04:57:37,APP,Elisa Oliveira,967.541.880-70,7650.0,3742.72,ATIVA,ALTO,10843.09,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,True,False,38.37,MEDIO
TRX0000100,ACC00071,ACC00017,PIX,127.41,2026-04-16T04:21:37,APP,Diego Pereira,684.028.564-18,7955.0,1629.75,ATIVA,MEDIO,12179.75,APROVADA,APROVADA,127.41,False,False,False,True,False,19.19,BAIXO
TRX0000101,ACC00047,,CARTAO,141.93,2026-03-07T13:42:37,INTERNET_BANKING,Gabriela Martins,010.088.800-25,4006.0,2757.82,ATIVA,MEDIO,1845.05,APROVADA,APROVADA,141.93,False,False,False,False,False,17.14,BAIXO
TRX0000102,ACC00006,ACC00027,TED,2037.48,2026-04-29T00:01:37,APP,Elisa Santos,545.501.214-66,5239.0,800.64,ATIVA,BAIXO,14509.12,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,True,False,19.38,BAIXO
TRX0000103,ACC00086,,SAQUE,1679.51,2026-03-20T23:08:37,APP,Gabriela Barbosa,287.132.186-16,4721.0,6003.06,ATIVA,MEDIO,21506.36,APROVADA,APROVADA,1679.51,False,False,False,False,False,19.08,BAIXO
TRX0000104,ACC00112,ACC00080,PIX,138.79,2026-03-24T16:02:37,APP,Otavio Souza,048.489.403-24,6271.0,1205.68,ATIVA,BAIXO,3830.19,APROVADA,APROVADA,138.79,False,False,False,False,False,1.12,BAIXO
TRX0000105,ACC00119,,BOLETO,1474.0,2026-04-10T04:52:37,INTERNET_BANKING,Natalia Santos,525.899.151-69,1473.0,13418.78,ATIVA,ALTO,15105.97,APROVADA,APROVADA,1474.0,False,False,False,True,False,37.85,MEDIO
TRX0000106,ACC00103,ACC00113,PIX,1187.2,2026-04-28T17:34:37,APP,Diego Oliveira,267.609.090-51,1856.0,5682.24,ENCERRADA,BAIXO,12338.41,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,31.1,MEDIO
TRX0000107,ACC00023,ACC00043,PIX,1263.79,2026-03-27T17:10:37,APP,Henrique Dias,357.698.762-41,4367.0,10011.35,ATIVA,MEDIO,12166.58,APROVADA,APROVADA,1263.79,False,False,False,False,False,9.4,BAIXO
TRX0000108,ACC00053,ACC00111,PIX,291.8,2026-03-05T03:52:37,ATM,Marcos Silva,354.935.183-35,5488.0,2292.98,ATIVA,BAIXO,23057.44,APROVADA,APROVADA,291.8,False,False,False,True,False,18.05,BAIXO
